GRUPO FINANCEIRO;Consultor Comercial;Empresa;Tipo;Pagto;Porte Cliente;Cliente (Razão Social);CNPJ;Operadora;Benefício ;Parcela;Mes Referencia ;Tipo Receita; Premio Bruto ;% Receita para XIPP;Receita Bruta da Corretora XIPP;  % Impostos retidos;Impostos retidos;Receita recebida pela Corretora XIPP;(%) Impostos sobre receita;  Imposto R$  ; Receita Líquida  ;"% 
Comissão"; Comissão a Pagar 
Objetivo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Objetivo;09.395.438/0001-90;Odontoprev;Odonto;1,00;01/11/2023;Comissão;273,33;0,1; 27,33 ; 0,04 ;0,956655; 26,38 ;0,1425;3,758629163;22,61771584;0,1;2,261771584
Objetivo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Objetivo;16.894.775/0001-98;Odontoprev;Odonto;1,00;01/11/2023;Comissão;11,39;0,1; 1,14 ; 0,04 ;0,039865; 1,10 ;0,1425;0,156626738;0,942508263;0,1;0,094250826
Objetivo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Objetivo;58.230.988/0008-31;Odontoprev;Odonto;1,00;01/11/2023;Comissão;1592,33;0,1; 159,23 ; 0,04 ;5,573155; 153,66 ;0,1425;21,89652791;131,7633171;0,1;13,17633171
Objetivo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Objetivo;58.230.988/0001-65;Odontoprev;Odonto;2,00;01/12/2023;Comissão;1189,96;0,1; 119,00 ; 0,04 ;4,16486; 114,83 ;0,1425;16,36343745;98,46770255;0,1;9,846770255
Objetivo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Objetivo;11.269.162/0001-46;Odontoprev;Odonto;2,00;01/12/2023;Comissão;583,89;0,1; 58,39 ; 0,04 ;2,043615; 56,35 ;0,1425;8,029217363;48,31616764;0,1;4,831616764
Objetivo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Objetivo;58.230.988/0005-99;Odontoprev;Odonto;2,00;01/12/2023;Comissão;546,66;0,1; 54,67 ; 0,04 ;1,91331; 52,75 ;0,1425;7,517258325;45,23543168;0,1;4,523543168
Objetivo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Objetivo;11.284.003/0001-10;Odontoprev;Odonto;2,00;01/12/2023;Comissão;428,6;0,1; 42,86 ; 0,04 ;1,5001; 41,36 ;0,1425;5,89378575;35,46611425;0,1;3,546611425
Objetivo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Objetivo;09.395.438/0001-90;Odontoprev;Odonto;2,00;01/12/2023;Comissão;785,82;0,1; 78,58 ; 0,04 ;2,75037; 75,83 ;0,1425;10,80600728;65,02562273;0,1;6,502562273
Objetivo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Objetivo;09.395.438/0001-90;Odontoprev;Odonto;2,00;01/12/2023;Comissão;250,55;0,1; 25,06 ; 0,04 ;0,876925; 24,18 ;0,1425;3,445375688;20,73269931;0,1;2,073269931
Objetivo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Objetivo;16.894.775/0001-98;Odontoprev;Odonto;2,00;01/12/2023;Comissão;11,39;0,1; 1,14 ; 0,04 ;0,039865; 1,10 ;0,1425;0,156626738;0,942508263;0,1;0,094250826
Objetivo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Objetivo;58.230.988/0008-31;Odontoprev;Odonto;2,00;01/12/2023;Comissão;1580,95;0,1; 158,10 ; 0,04 ;5,533325; 152,56 ;0,1425;21,74003869;130,8216363;0,1;13,08216363
Opus;Mario Correa;Mario Correa;Consultor Interno;01/01/2024;Middle;Opus;28.811.839/0001-29;Metlife;Vida;1,00;01/11/2023;Comissão;18359,6;0,075; 1.376,97 ;0,035; 48,19 ;1328,77605;0,1425;189,3505871;1139,425463;0,1;113,9425463
Opus;Mario Correa;Mario Correa;Consultor Interno;01/01/2024;Middle;Opus;28.811.839/0001-29;Metlife;Vida;2,00;01/12/2023;Comissão;18674;0,075; 1.400,55 ;0,035; 49,02 ;1351,53075;0,1425;192,5931319;1158,937618;0,1;115,8937618
Coremal;Mayara Costa;MC Consultoria;Consultor Interno;01/01/2024;Middle;Coremal;10.793.008/0001-06;CNU;Saúde;3,00;01/12/2023;Agenciamento;223913,82;0,5; 111.956,91 ;0,065; 7.277,20 ;104679,7109;0,1425;14916,8588;89696,18205;0,1;8969,618205
Davene;Mayara Costa;MC Consultoria;Consultor Interno;01/01/2024;Corporate;Davene;05.975.111/0001-37;AXA;Vida;11,00;01/12/2023;Comissão;1191,005025;0,2; 238,20 ;0,065; 15,48 ;222,7179397;0,1425;31,73730641;190,9806333;0,1;19,09806333
Wiler Kar;Mayara Costa;MC Consultoria;Consultor Interno;01/01/2024;Middle;Wiler Kar;04.539.316/0001-07;Metlife;Odonto;12,00;01/12/2023;Comissão;5920,44;0,1; 592,04 ;0,065; 38,48 ;553,56114;0,1425;78,88246245;474,6786776;0,1;47,46786776
Wiler Kar;Mayara Costa;MC Consultoria;Consultor Interno;01/01/2024;Middle;Wiler Kar;04.539.316/0001-07;Amil;Saúde;12,00;01/12/2023;Comissão;63243,51;0,1; 6.324,35 ;0,065; 411,08 ;5913,268185;0,1425;842,6407164;5070,627469;0,1;507,0627469
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/01/2024;Middle;Zangari;43.454.594/0001-13;Metlife;Odonto;10,00;01/12/2023;Comissão;575,04;0,1; 57,50 ;0,065; 3,74 ;53,76624;0,1425;7,6616892;46,1045508;0,1;4,61045508
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/01/2024;Middle;Zangari;43.454.594/0001-13;Metlife;Odonto;10,00;01/12/2023;Comissão;752,48;0,1; 75,25 ;0,065; 4,89 ;70,35688;0,1425;10,0258554;60,3310246;0,1;6,03310246
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/01/2024;Middle;Zangari;43.454.594/0001-13;Metlife;Odonto;10,00;01/12/2023;Comissão;829,44;0,1; 82,94 ;0,065; 5,39 ;77,55264;0,1425;11,0512512;66,5013888;0,1;6,65013888
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/01/2024;Middle;Zangari;06.170.679/0001-43;GNDI;Saúde;3,00;01/12/2023;Comissão;10943,39;0,04; 437,74 ;0,065; 28,45 ;409,282786;0,1425;58,32279701;350,959989;0,1;35,0959989
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/01/2024;Middle;Zangari;43.454.594/0001-13;Seguros Unimed;Saúde;10,00;01/12/2023;Comissão;17022,42;0,05; 851,12 ;0,035; 29,79 ;821,331765;0,1425;117,0397765;704,2919885;0,1;70,42919885
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/01/2024;Middle;Zangari;43.454.594/0001-13;Seguros Unimed;Saúde;10,00;01/12/2023;Comissão;398,96;0,05; 19,95 ;0,035; 0,70 ;19,24982;0,1425;2,74309935;16,50672065;0,1;1,650672065
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/01/2024;Middle;Zangari;43.454.594/0001-13;Seguros Unimed;Saúde;10,00;01/12/2023;Comissão;782,65;0,05; 39,13 ;0,035; 1,37 ;37,7628625;0,1425;5,381207906;32,38165459;0,1;3,238165459
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/01/2024;Middle;Zangari;43.454.594/0001-13;Seguros Unimed;Saúde;10,00;01/12/2023;Comissão;28644,95;0,05; 1.432,25 ;0,035; 50,13 ;1382,118838;0,1425;196,9519343;1185,166903;0,1;118,5166903
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/01/2024;Middle;Zangari;43.454.594/0001-13;Seguros Unimed;Saúde;10,00;01/12/2023;Comissão;18021,02;0,05; 901,05 ;0,035; 31,54 ;869,514215;0,1425;123,9057756;745,6084394;0,1;74,56084394
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/01/2024;Middle;Zangari;43.454.594/0001-13;Seguros Unimed;Saúde;10,00;01/12/2023;Comissão;398,96;0,05; 19,95 ;0,035; 0,70 ;19,24982;0,1425;2,74309935;16,50672065;0,1;1,650672065
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/01/2024;Middle;Zangari;43.454.594/0001-13;Seguros Unimed;Saúde;10,00;01/12/2023;Comissão;782,65;0,05; 39,13 ;0,035; 1,37 ;37,7628625;0,1425;5,381207906;32,38165459;0,1;3,238165459
Marshals;Nathalia Ferrite;Nathalia Ferrite;Consultor Interno;01/01/2024;Middle;Marshals;28.134.035/0001-32;Tokio;Vida;4,00;01/11/2023;Agenciamento;2387,86;0,5; 1.193,93 ;0,035; 41,79 ;1152,14245;0,1425;164,1802991;987,9621509;0,1;98,79621509
Marshals;Nathalia Ferrite;Nathalia Ferrite;Consultor Interno;01/01/2024;Middle;Marshals;28.134.035/0001-32;Tokio;Vida;5,00;01/12/2023;Comissão;2387,86;0,2; 477,57 ;0,035; 16,72 ;460,85698;0,1425;65,67211965;395,1848604;0,1;39,51848604
Marshals;Nathalia Ferrite;Nathalia Ferrite;Consultor Interno;01/01/2024;Middle;Marshals;30.422.595/0001-34;GNDI;Saúde;1,00;01/01/2024;Comissão;23340,4;0,02; 466,81 ;0,065; 30,34 ;436,46548;0,1425;62,1963309;374,2691491;0,1;37,42691491
Alea;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/01/2024;Corporate;Alea;93.720.464/0103-88;Odontoprev;Odonto;3,00;01/12/2023;Comissão;13869,94;0,1; 1.386,99 ;0,015; 20,80 ;1366,18909;0,1425;194,6819453;705,6209956;0,1;70,56209956
Alea;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/01/2024;Corporate;Alea;93.720.464/0103-88;Unimed Seguros;Vida ;2,00;01/11/2023;Comissão;15189,4;0,075; 1.139,21 ;0,015; 17,09 ;1122,116925;0,1425;159,9016618;962,2152632;0,1;96,22152632
Alea;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/01/2024;Corporate;Alea;93.720.464/0103-88;Unimed Seguros;Vida ;3,00;01/12/2023;Comissão;18061,46667;0,075; 1.354,61 ;0,015; 20,32 ;1334,29085;0,1425;190,1364461;1144,154404;0,1;114,4154404
Barkev;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/01/2024;Middle;Barkev;60.406.725/0001-06;Amil;Odonto;6,00;01/12/2023;Comissão;39,9;0,05; 2,00 ;0,015; 0,03 ;1,965075;0,1425;0,280023188;1,685051813;0,1;0,168505181
Barkev;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/01/2024;Middle;Barkev;60.406.725/0001-06;Amil;Odonto;6,00;01/12/2023;Comissão;4833,68;0,05; 241,68 ;0,015; 3,63 ;238,05874;0,1425;33,92337045;204,1353696;0,1;20,41353696
Barkev;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/01/2024;Middle;Barkev;60.406.725/0001-06;Amil;Saúde;6,00;01/12/2023;Comissão;105077,85;0,03; 3.152,34 ;0,015; 47,29 ;3105,050468;0,1425;442,4696916;2662,580776;0,1;266,2580776
Barkev;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/01/2024;Middle;Barkev;60.406.725/0001-06;Amil;Saúde;6,00;01/12/2023;Comissão;1385,76;0,03; 41,57 ; 0,02 ;0,623592; 40,95 ;0,1425;5,83526214;35,11394586;0,1;3,511394586
Ipam;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/01/2024;Small;Ipam;00.627.727/0001-01;Prudential;Vida;4,00;01/12/2023;Comissão;6980,53;0,4; 2.792,21 ; 0,04 ;97,72742; 2.694,48 ;0,1425;383,9640527;2310,520527;0,1;231,0520527
Ipam;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/01/2024;Small;Ipam;00.627.727/0003-65;Amil;Odonto;3,00;01/12/2023;Comissão;2356,92;0,02; 47,14 ; 0,02 ;0,707076; 46,43 ;0,1425;6,61646367;19,90743017;0,1;1,990743017
Ipam;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/01/2024;Small;Ipam;00.627.727/0003-65;Bradesco;Saúde;2,00;01/11/2023;Comissão;7623;0,02; 152,46 ; 0,04 ;5,3361; 147,12 ;0,1425;20,96515575;76,08694398;0,1;7,608694398
Ipam;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/01/2024;Small;Ipam;00.627.727/0003-65;Bradesco;Saúde;2,00;01/11/2023;Comissão;84040,5;0,02; 1.680,81 ; 0,04 ;58,82835; 1.621,98 ;0,1425;231,1323851;858,519859;0,1;85,8519859
Monteiro Rusu;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/01/2024;Small;Monteiro Rusu;24.814.369/0001-04;Omint;Saúde;6,00;01/12/2023;Comissão;103584,25;0,04; 4.143,37 ; 0,07 ;269,31905; 3.874,05 ;0,1425;552,0522604;3321,99869;0,1;332,199869
Mimosa;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/01/2024;Small;Mimosa;48.193.726/0001-14;Metlife Odonto;Odonto;4,00;01/12/2023;Comissão;195,4;0,1; 19,54 ; 0,07 ;1,2701; 18,27 ;0,1425;2,60346075;15,66643925;0,1;1,566643925
Tutto;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/01/2024;Small;Tutto;10.468.193/0001-63;Metlife Odonto;Odonto;4,00;01/12/2023;Comissão;937,92;0,1; 93,79 ; 0,07 ;6,09648; 87,70 ;0,1425;12,4966116;75,1989084;0,1;7,51989084
Bobinex;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/01/2024;Middle;Bobinex;60.936.085/0001-46;Metlife Odonto;Odonto;2,00;01/12/2023;Comissão;816,95;0,1; 81,70 ; 0,07 ;5,310175; 76,38 ;0,1425;10,88483756;30,99865716;0,1;3,099865716
Bobinex;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/01/2024;Middle;Bobinex;60.936.085/0001-46;Metlife Odonto;Odonto;2,00;01/12/2023;Comissão;75,14;0,1; 7,51 ; 0,07 ;0,48841; 7,03 ;0,1425;1,001146575;2,851140338;0,1;0,285114034
Bobinex;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/01/2024;Middle;Bobinex;60.936.085/0001-46;Metlife Odonto;Odonto;2,00;01/12/2023;Comissão;283,81;0,1; 28,38 ; 0,07 ;1,844765; 26,54 ;0,1425;3,781413488;10,76899307;0,1;1,076899307
Bobinex;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/01/2024;Middle;Bobinex;60.936.085/0001-46;Amil;Saúde;4,00;01/12/2023;Comissão;25173,16;0,5; 12.586,58 ; 0,02 ;188,7987; 12.397,78 ;0,1425;1766,683835;10631,09746;0,1;1063,109746
Bobinex;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/01/2024;Middle;Bobinex;22.083.049/0001-98;Amil;Saúde;4,00;01/12/2023;Comissão;9968,61;0,5; 4.984,31 ; 0,02 ;74,764575; 4.909,54 ;0,1425;699,6095106;4209,930914;0,1;420,9930914
Bobinex;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/01/2024;Middle;Bobinex;21.435.954/0001-05;Amil;Saúde;4,00;01/12/2023;Comissão;1519,07;0,5; 759,54 ; 0,02 ;11,393025; 748,14 ;0,1425;106,6102314;641,5317436;0,1;64,15317436
Jotaeme;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/01/2024;Middle;Jotaeme;68.032.648/0002-64;Amil;Saúde;1,00;01/12/2023;Agenciamento;279997,69;1; 279.997,69 ; 0,02 ;4199,96535; 275.797,72 ;0,1425;39301,17576;236496,5489;0,1;23649,65489
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Nova Engevix;00.103.582/0001-31;Sul América Companhia de Seguro Saúde;Saúde;4,00;11/2023;Comissão;154342,2;5; 7.717,11 ; 3,50 ;270,1; 7.447,01 ;14,25;1061,2;6385,81;10;638,58
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Lemasa;21.571.621/0001-03;Sul America Seguros de Pessoas e Previdêcia Saúde S.A.;Vida;4,00;11/2023;Comissão;82,8;15; 12,42 ; 3,51 ;0,44; 11,98 ;14,25;1,71;10,27;10;1,03
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Lemasa;21.571.621/0001-03;Sul America Seguros de Pessoas e Previdêcia Saúde S.A.;Vida;4,00;11/2023;Comissão;3314,44;15; 497,17 ; 3,50 ;17,4; 479,77 ;14,25;68,37;411,4;10;41,14
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Lemasa;21.571.621/0001-03;Sul América Companhia de Seguro Saúde;Saúde;6,00;01/2024;Comissão;3121,8;5; 156,09 ; 3,50 ;5,46; 150,63 ;14,25;21,46;129,17;10;12,92
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Lemasa;21.571.621/0001-03;Sul América Companhia de Seguro Saúde;Saúde;6,00;01/2024;Comissão;24194,2;5; 1.209,71 ; 3,50 ;42,34; 1.167,37 ;14,25;166,35;1001,02;10;100,1
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Lemasa;21.571.621/0001-03;Sul América Companhia de Seguro Saúde;Saúde;6,00;01/2024;Comissão;8701,8;5; 435,09 ; 3,50 ;15,23; 419,86 ;14,25;59,83;360,03;10;36
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Lemasa;21.571.621/0001-03;Sul América Companhia de Seguro Saúde;Saúde;6,00;01/2024;Comissão;152673,8;5; 7.633,69 ; 3,50 ;267,18; 7.366,51 ;14,25;1049,73;6316,78;10;631,68
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Nova Engevix;00.103.582/0001-31;Sul América Companhia de Seguro Saúde;Saúde;5,00;12/2023;Comissão;754,8;5; 37,74 ; 3,50 ;1,32; 36,42 ;14,25;5,19;31,23;10;3,12
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;7,00;12/2023;Comissão;2221,8;2; 44,44 ; 3,50 ;1,56; 42,88 ;14,25;6,11;36,77;10;3,67
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;7,00;12/2023;Comissão;390,45;2; 7,81 ; 3,50 ;0,27; 7,54 ;14,25;1,07;6,47;10;0,65
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;7,00;12/2023;Comissão;390,45;2; 7,81 ; 3,50 ;0,27; 7,54 ;14,25;1,07;6,47;10;0,65
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;7,00;12/2023;Comissão;1561,8;2; 31,24 ; 3,50 ;1,09; 30,15 ;14,25;4,3;25,85;10;2,58
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;7,00;12/2023;Comissão;43170;2; 863,50 ; 3,50 ;30,22; 833,28 ;14,25;118,74;714,54;10;71,45
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;6,00;12/2023;Comissão;1110,9;2; 22,22 ; 3,50 ;0,78; 21,44 ;14,25;3,06;18,38;10;1,84
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;7,00;12/2023;Comissão;2117,25;2; 42,35 ; 3,50 ;1,48; 40,87 ;14,25;5,82;35,05;10;3,51
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;7,00;12/2023;Comissão;6186,75;2; 123,75 ; 3,50 ;4,33; 119,42 ;14,25;17,02;102,4;10;10,24
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;7,00;12/2023;Comissão;1666,35;2; 33,33 ; 3,50 ;1,17; 32,16 ;14,25;4,58;27,58;10;2,76
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;7,00;12/2023;Comissão;1561,8;2; 31,24 ; 3,50 ;1,09; 30,15 ;14,25;4,3;25,85;10;2,58
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Nova Engevix;00.103.582/0001-31;Sul América Companhia de Seguro Saúde;Saúde;5,00;12/2023;Comissão;2489,8;5; 124,49 ; 3,50 ;4,36; 120,13 ;14,25;17,12;103,01;10;10,3
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Nova Engevix;00.103.582/0001-31;Sul América Companhia de Seguro Saúde;Saúde;5,00;12/2023;Comissão;50913,2;5; 2.545,66 ; 3,50 ;89,1; 2.456,56 ;14,25;350,06;2106,5;10;210,65
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Lemasa;21.571.621/0001-03;Sul America Seguros de Pessoas e Previdêcia Saúde S.A.;Vida;4,00;11/2023;Comissão;441,8;15; 66,27 ; 3,51 ;2,33; 63,94 ;14,25;9,11;54,83;10;5,49
M3 Trade;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Small;M3 Trade;11.129.197/0001-80;Bradesco Saúde S.A;Saúde;1,00;01/2024;Agenciamento;7867,49;100; 7.867,49 ; 3,50 ;275,36; 7.592,13 ;14,25;1081,88;6510,25;20;1302,05
M3 Trade;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Small;M3 Trade;11.129.197/0001-80;Bradesco Saúde S.A;Saúde;1,00;01/2024;Comissão;7887,49;0; 0,79 ; 3,50 ;0,03; 0,76 ;14,25;0,11;0,65;20;0,13
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Nova Engevix;00.103.582/0001-31;Sul América Companhia de Seguro Saúde;Saúde;4,00;11/2023;Comissão;3619,6;5; 180,98 ; 3,50 ;6,33; 174,65 ;14,25;24,89;149,76;10;14,98
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Nova Engevix;00.103.582/0001-31;Sul América Companhia de Seguro Saúde;Saúde;4,00;11/2023;Comissão;87828;5; 4.391,40 ; 3,50 ;153,7; 4.237,70 ;14,25;603,87;3633,83;10;363,38
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Nova Engevix;00.103.582/0001-31;Sul América Companhia de Seguro Saúde;Saúde;4,00;11/2023;Comissão;55043;5; 2.752,15 ; 3,50 ;96,33; 2.655,82 ;14,25;378,45;2277,37;10;227,74
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;7,00;12/2023;Comissão;555,45;2; 11,11 ; 3,50 ;0,39; 10,72 ;14,25;1,53;9,19;10;0,92
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;6,00;12/2023;Comissão;2507,7;2; 50,16 ; 3,50 ;1,76; 48,40 ;14,25;6,9;41,5;10;4,15
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;7,00;12/2023;Comissão;1561,8;2; 31,24 ; 3,50 ;1,09; 30,15 ;14,25;4,3;25,85;10;2,58
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;7,00;12/2023;Comissão;3783,6;2; 75,68 ; 3,50 ;2,65; 73,03 ;14,25;10,41;62,62;10;6,26
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;7,00;12/2023;Comissão;1171,35;2; 23,43 ; 3,50 ;0,82; 22,61 ;14,25;3,22;19,39;10;1,94
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;5,00;12/2023;Comissão;390,45;2; 7,81 ; 3,50 ;0,27; 7,54 ;14,25;1,07;6,47;10;0,65
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;7,00;12/2023;Comissão;555,45;2; 11,11 ; 3,50 ;0,39; 10,72 ;14,25;1,53;9,19;10;0,92
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;6,00;12/2023;Comissão;1171,35;2; 23,43 ; 3,50 ;0,82; 22,61 ;14,25;3,22;19,39;10;1,94
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;7,00;12/2023;Comissão;1110,9;2; 22,22 ; 3,50 ;0,78; 21,44 ;14,25;3,06;18,38;10;1,84
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Lemasa;21.571.621/0001-03;Sul América Odontológico S.A;Odonto;6,00;01/2024;Comissão;108,1;10; 10,81 ; 2,00 ;0,22; 10,59 ;14,25;1,51;9,08;10;0,91
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Lemasa;21.571.621/0001-03;Sul América Odontológico S.A;Odonto;6,00;01/2024;Comissão;283,9;10; 28,39 ; 2,00 ;0,57; 27,82 ;14,25;3,96;23,86;10;2,39
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Lemasa;21.571.621/0001-03;Sul América Odontológico S.A;Odonto;6,00;01/2024;Comissão;4975,3;10; 497,53 ; 2,00 ;9,95; 487,58 ;14,25;69,48;418,1;10;41,81
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Nova Engevix;00.103.582/0001-31;Sul América Companhia de Seguro Saúde;Saúde;4,00;11/2023;Comissão;2413;5; 120,65 ; 3,50 ;4,22; 116,43 ;14,25;16,59;99,84;10;9,98
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Nova Engevix;00.103.582/0001-31;Sul América Companhia de Seguro Saúde;Saúde;4,00;11/2023;Comissão;4826,2;5; 241,31 ; 3,50 ;8,45; 232,86 ;14,25;33,18;199,68;10;19,97
